视频id,标题,描述,最新弹幕数量,金币数量,不喜欢,收藏,最高排名,点赞数,目前排名,回复数,分享数,观看数,弹幕内容
av85464975,新型冠状病毒不止针对个别人群！关于新型肺炎我想要分享的3件事,喝草药可以预防新型冠状病毒？普通人应该如何预防？,432,6270,0,2113,0,18881,0,1059,695,181336,1---来了来了---第一第一---如果确定草药无害吃点无妨，心里上能有点作用---谢谢熊猫！---我是第一？---第一哟！---晚上好---沙发---口罩紧缺---
av93562876,【科普】面对新型冠状病毒，老年人应该怎么调节心理?,-,45,4,0,11,0,26,0,121,8,4410,电一下就行了---当然是选择电击啊---电击就完事---给爷死！！！---给laozi爬---杨教授，宁配吗---爬爬爬---给爷死---应该要电击---电一电---
av84635096,白岩松辟谣！抽烟、喝酒不能抵抗新型冠状病毒肺炎！,白岩松表示，从2003年抵抗SARS到现在，17年时间过去了。在这17年时间里，很多的事情都在进步，但是有一点是一点进步都没有，那就是谣言。说抽烟、喝酒能抵抗新型冠状病毒肺炎，很大一部分是在为自己找理由。而将钟南山院士接受采访的画面进行篡改，则是利用大家对钟南山院士的信任，产生一种误导，网警也该找这个网友好好约谈约谈。,4368,9004,0,7830,17,53673,0,6195,45191,1537129,p图最起玛把字做的一样大呀！！！---生 命 之 水---哈哈哈网警---不耐高温建议火化---说的太对了---来杯乌龙茶---？？？---可能烫头行---？---哈哈哈哈哈哈哈哈哈哈哈哈哈哈---
av95995320,控制宙斯对战“冠状病毒阵型”，我好像是局外人？TABS小新玩评论,控制宙斯对战“冠状病毒阵型”，我好像是局外人？TABS小新玩评论,8,6,0,12,0,92,0,18,0,1965,中国加油！---我是第二条弹幕---香水菇:？？？？---no.3---？？？？？---中国加油，武汉加油！---弓箭手：？？？？？？？？---武士巨人明明是被周树人捶死的。---
av85313890,农村硬核防新型冠状病毒，封村堵路大喇叭喊一天，村民如何生活？,防治新型冠状病毒，我们在行动，即日起至防控警报解除，所有视频收益支援武汉病毒防控，本期带大家了解农村防治措施，大家多多点赞支持，谢谢。,1701,30382,0,4011,0,57191,0,992,190,561380,666---真实---这次一定---我不要你觉得我要我觉得---水萝北---我们这也是这个广播声音---哎鸭---烧鸡公---这是小型超市叭..---还是红皮的---
av86989861,冠状病毒防治专家组成员，武汉呼吸科医生：余昌平医生。讲述从被感染到康复的亲身经历。,转自抖音,1049,2902,0,3183,0,9980,0,771,6744,212267,加油---祝平安---加油 加油---乐观的医生---加油---谢谢您啦---谢谢您的分享---加油---不恐慌宅在家---加油---
av85291739,浙江48小时内成功分离到新型冠状病毒毒株，正研发快速检测试剂和疫苗！,1月24日，浙江省疾控中心新型冠状病毒检测团队成功分离到了新型冠状病毒毒株。分离到的毒株滴度高，为即将开展的新型冠状病毒疫苗研制、抗病毒药物的筛选以及快速检测试剂的研发奠定了坚实的基础。分离到的毒株滴度高，团队目前已着手开展毒株基因测序工作。浙江省疾控中心微生物检验所所长张严峻博士表示，有了病毒毒株后，可以研制疫苗，做药物的研发，研发快速诊断试剂，成功后，能将检测时间从3小时缩短至15分钟。,1718,5480,0,2732,68,36243,0,3014,3531,752116,浙江加油---浙江np---加油！！！---浙江NB---加油！---牛逼！！---加油---中国牛逼---我只是希望医闹伤医的时间发生的时候你们记得医生的付出---中国牛逼---
av87343516,冠状病毒日常防护：小猪佩奇教你如何正确带口罩。,,5,8,0,25,0,49,0,3,27,40541,75---火钳留名---？？？？？？？---这？？---防付---
av92573527,紫外线灯能杀死新冠状病毒，但要注意哪些细节？,紫外线灯能杀死新冠状病毒，但要注意哪些细节？,0,2,0,11,0,21,0,2,11,666,
av84879936,武汉冠状病毒事件！旭旭宝宝捐赠5万只口罩！正能量主播！炫石互娱共捐赠10万只口罩和100套防护服！共佑武汉！,旭旭宝宝直播间：https://www.douyu.com/99999;;;本视频得到旭旭宝宝授权,159,2966,0,847,0,14514,0,850,385,396523,加油---宝哥好样的---宝哥正能量---大旭新年快乐---大马猴好样的---宝哥牛逼---宝哥  永久滴神---有备无患啊---穷则独善其身，富则达济天下。---宝哥牛逼---
av84281159,武汉肺炎新增136例、累计198例、出院25例、死亡3例；北京、广东3例，韩国、泰国、日本4例；新型冠状病毒肺炎症状、预防、协和医院诊疗方案。,希望疫情能尽快控制,1091,228,0,729,85,3877,0,2987,1793,590350,武汉加油！中国加油！---武汉加油---武汉加油---我们石家庄今天下午确诊了一例---全国加油！自强不息！---）---290哩了---山东青岛有一个了---武汉加油---武汉加油---
av95893057,罗杰斯证实有三名莱斯特城球员出现冠状病毒症状,更多精彩视频请关注我的头条号：足球字幕君;;;罗杰斯证实有三名莱斯特城球员出现冠状病毒症状,2,0,0,0,0,15,0,4,1,585,还不带口罩。。。---1m范围之外可以不戴口罩---
av94799529,小学生 中学生 健康课 健康教育 健康小贴士 青春期心里特点 预防近视 龋齿 保护听力 正确洗手 锻炼身体要讲究卫生科学 吸烟酗酒的危害 新型冠状病毒知识介绍,转自锡慧在线小学中学健康课健康教育健康小贴士预防近视龋齿保护听力正确洗手青春期心里特点注意力要集中锻炼身体要讲究卫生科学吸烟酗酒的危害新型冠状病毒知识介绍消防安全教育一年级二年级三年级四年级五年级六年级七年级八年级九年级1年级2年级3年级4年级5年级6年级7年级8年级9年级,0,0,0,14,0,5,0,0,9,938,
av84938893,注意了！发热、咳嗽并非新型冠状病毒感染的肺炎唯一首发症状_,网络平台;;;加油武汉加油中国,236,60,0,806,0,2177,0,1285,2625,345504,感觉啥都像了---怎么感觉我有---喝完酒就这样啊…---不要恐慌---肩背酸痛好几天了…---鼻炎患者，表示一切推给鼻炎。。。---懒，不想动，就想躺着刷手机，算不算呢？---睡不好也这样呀---那是不是说病毒已经开始变异了！！---我也是---
av84978166,【新型冠状病毒肺炎】N95防毒面罩repo！日本重松的萌系粉色款,更新重松防护镜EE-16简单展示AV85033950;;;;;;*视频中型号：TW01SC粉色款s码，配T2滤芯;;;*关于各面罩的kn95标准滤芯是哪款：面罩是TW系列，配T2即可，有钱可上T3或T4；面罩是DR10R或NSA，配U2k（可水洗）或R2或R2N+活性碳过滤棉皆可。tb通常会有套餐选项！;;;;;;*关于现在哪里还能买到：官方店“shigematsu旗舰店”年后应该会补货，我自己是在“和平顺健重松制作所”买的目前已断货，另一家经销商“重松劳动防护品”还有NSA和DR10R款过节可发货。,385,291,0,1332,0,1421,0,1289,1415,334940,你说啥---噗---哈哈哈哈哈哈哈哈---吓我一跳---哈哈哈---哈哈哈哈---我是面罩---哈哈哈哈---3M呗---现在涨到200了---
av85073606,加拿大发现首个新型冠状病毒确诊病例,1月25日，加拿大安大略省公共卫生部门宣布，疑似确诊加拿大首个新型冠状病毒感染病例。此人为男性，50多岁，曾有武汉旅行史，回到多伦多后一天内便感到身体不适。目前，该名患者已送医治疗，情况稳定。对于该病患的首次测试结果呈阳性，但此结果需由加拿大国家微生物实验室二次检测进行确认，如获确认，这将是加拿大首例确诊病例。,215,304,0,533,0,13103,0,1643,613,332306,人类命运共同体，大家都要好好的。---大家都有好好的。---一切都会好起来的---疑似确诊---太搞了---格陵兰，咚咚咚---武汉加油！ 地球加油！---在这个关头，还是少开一些无关紧要的玩笑吧。看看增长病例人数 ---一次---人呢---
av85849413,新冠状病毒导致峨眉山（不确定哦）猴子失业，政府发馒头给猴子们,微信,90,25,0,323,0,2416,0,459,1381,308967,hhh---这这不是峨眉山，这是黔灵山公园---这是贵阳黔灵山！---明明是黔灵山---这是贵阳黔灵山---猴子来领救济粮了---卧槽---平时给国家挣钱 关键时刻 国家给你粮---拿俩的那只猴，你给我回来---还有拿仨的---
av85110684,对抗新型冠状病毒肺炎疫情下，普通情侣的一天,加油中国！！！,1386,4212,0,918,0,13613,0,659,415,265013,狼外婆---卡哇伊的胖胖---手里的是瑞士莲！好吃！---哈哈哈哈哈哈哈哈哈哈哈哈哈哈---迫真演技---沈大成---希望软软幸福~---听得我紧张了---瑞士莲---瑞士莲贼好吃！---
av84705000,硬核辟谣：那些有关新型冠状病毒的降智谣言,各位家长群里也有这种情况吗;;;到评论区分享一下吧,3670,3607,0,3049,0,14684,0,2265,2853,257016,官方辟谣……人中医院都说这是假的了！！！---假的，官方已经辟谣，武汉十大造谣之一。---因为东北三省毛事没有---烟   油    子---? ? ?神TM更有用---生物老师：？---病毒是生物---那是啊，连人都杀---看到封面就笑了---？？？？---
av85193761,喏，你们要的娘化版新型冠状病毒,武汉加油！,2422,1514,0,1393,0,14474,0,1610,405,279383,猫喵喵？？？---wtf？---拖到后面吓得我关掉了回来发条弹幕---不敢想不敢想---如果像莲花病毒大爆发呢---我不是二刺螈的（狗头）---bzbzbzbz---你不要过来啊！---？？？？---？？？？？？？？？---
av84580636,冠状病毒有克星！！！国家卫健委专家李兰娟院士：新型冠状病毒怕酒精不耐高温！,网络平台;;;天佑中华天佑人民,127,33,0,308,0,462,0,495,344,343922,这BGM整的这么悬疑---这BGM好多余---喝酒---听不清---多喝岩浆---老师---up主有病吗？搞这个gbm---用酒精擦---配这BGM是睿智吧---标题党---
av84640740,世界上10大最致命的病毒，冠状病毒排第几？,世界上10大最致命的病毒,262,96,0,1172,0,2117,0,676,363,327153,什么锤子背景音乐---甲型流感是最容易变异的类型，以至于难以治疗---牧马人---瘟疫公司---英语听力前奏---老许…………………………---鼠疫不是前3？---现已消灭---求背景音乐---妈耶~---
av91719976,日本小姐姐专访，对冠状病毒为何毫无危机感，新型肺炎疫情下的日本,冠状病毒来袭日本人为何毫无危机感，新型肺炎疫情下的日本民众的心态。笑着讲完电话，挂了电话想哭。疫情下的日本，第一期专访一位日本小姐姐。;;;《疫情下的日本，现状调查，日本医生电话访谈》;;;https://www.ixigua.com/i6798134647537533443/;;;《疫情下的日本，现状调查，日本小哥电话访谈》;;;https://www.bilibili.com/video/av91993738,248,80,0,141,0,1304,0,551,92,117318,太无知了吧---完了---哎～希望能重视起来，希望能正视疫情的严重性---心疼---几千?害---就是这个？太少---死了几千，感染7万7千哦---14天---什么时候录的---哪里口音---
av85848793,感染了冠状病毒 你的身体会发生什么?,转自https://www.youtube.com/watch?v=OTYfke545vI;;;;;;很多人都在问关于冠状病毒的问题，所以我们制作了一个视频来解释它是如何影响你的身体的，以及你应该/不应该有多担心。我们知道很多人都很害怕，所以希望这段视频能帮助我们澄清一些事情。如果有帮助，请告诉我们!,741,2639,0,3931,0,10061,0,457,2028,201572,是在下不配看这个视频---重度密集恐惧症已经……---不错---说得太好了---我 杀 我 自 己---画的好可耐---草，不仅点上了咳嗽喷嚏失眠症，你连免疫抑制和全面器官衰竭都点上了---投币投币，谢谢up---哇是生肉---有高中知识这些都好懂---
av85688279,应对新型冠状病毒，中医治疗有效吗？,面对新型冠状病毒，为何有的患者可以治愈，有的人病情却越来越重，甚至死亡？为何在死亡病例中开始出现年轻人？中医治疗和中西医结合治疗分别适合怎样的患者？激素治疗所产生的毒副作用如何消减？中医治疗都经历过哪些重大疫情的考验？中央广播电视总台央视记者董倩专访中国科学院院士、中国中医科学院广安门医院科研副院长仝小林。,393,743,0,938,0,10604,0,1907,1053,254183,行---湖北加油---？---所以毒力到底是啥？---中国奥利给！中国加油---中国加油！---自身免疫力---中医?---這種沒就好了。---目前不就是大部分靠自身免疫力吗---
av82667900,最新，武汉不明原因肺炎病原体为新型冠状病毒,就武汉不明原因的病毒性肺炎疫情病原学鉴定进展问题，截至7日21时，专家组认为，本次不明原因的病毒性肺炎病例的病原体初步判定为新型冠状病毒。获得该病毒的全基因组序列，经核酸检测方法共检出新型冠状病毒阳性结果15例，从1例阳性病人样本中分离出该病毒，电镜下呈现典型的冠状病毒形态。,446,215,0,1212,0,8836,0,2421,3019,384085,能治吗---许作。。---果子狸---能但要时间---2020生物高考注意---真拗口。。。---╮(￣▽￣)╭都有人可以出院了，你说能不能治---认真看，管他出不出生物题---不用恐慌 几个人已经治愈了---健康所系，性命相托。---
av86466118,【真实还原】当初与父母解释新型冠状病毒的场景（美人鱼名场面）,每次出门，都能在外面看到一些大爷大妈们溜达，也不戴口罩。;;;他们是谁的父母，他们的儿女又在哪里？;;;我想大部分和我一样做儿女的都有这个问题，不知道怎么与长辈沟通，以前没事还不觉得。;;;希望用我和我父母的经历能提醒一下大家，害。;;;还是祝大家新年快乐，万事大吉吧！,568,2279,0,2600,0,8554,0,291,3979,187481,非典抢盐？---火钳刘明---热干面：.....---哈哈哈---真实---有内味了---同感---口型对上了---抢了一仓库哈哈哈---火钳刘明---
av85120134,小伙捐款3000元尽绵薄之力，加油武汉，一起消灭新型冠状病毒,小伙捐款3000元尽绵薄之力，加油武汉，一起消灭新型冠状病毒,200,13751,0,1676,0,13052,0,296,43,52294,第一个---好样的大朋!---武汉加油---你好帅---我三连了---加油武汉---三连了---你币有了---你币有了---赞---
av86305705,【张文宏】新型冠状病毒感染肺炎概述,复旦大学附属华山医院,1198,1271,0,5949,0,4343,0,296,4478,163185,加油啊  武汉---原来都干扰过，害怕。---没人看吗---厉害了这么快---有，吓得不敢发声音---再看---可怜，一看就是忙到没时间睡觉---口误了，是霍乱，辛苦啊，状态很差---现在+1---数据有问题吧，欧洲有那么多人吗？---
av85924856,官宣！湖北公布新型冠状病毒全基因序列,1月30日，湖北省疾控中心首次完成新型冠状病毒的分离鉴定及全基因组序列测定。有了该基因序列，如果病毒后期变异，将很快做出比对，基因序列还将对研发治疗药剂和检测试剂优化提供数据支撑。,207,749,0,647,0,9502,0,1111,725,222766,好样的，有希望了。---牛皮---太强了，医生，加油加油啊---祖国加油！---中国NB---nb---nb！---加油啊---29847BP，BP是个什么单位---好年轻---
av84393754,《新闻1+1》白岩松现场连线钟南山 了解新型冠状病毒肺炎情况,针对湖北省武汉市等多个地区发生新型冠状病毒感染的肺炎疫情，《新闻1+1》今日连线国家卫健委高级别专家组组长钟南山，权威解析新型冠状病毒肺炎，情况如何？,1098,771,0,1047,0,4859,0,829,2383,271076,可怕吗？---这画质。。。是1080？？---AV画质---宅男有点无敌---1---保密画质---@华农---？---大龄，免疫力有点低了---1080都救不了的画质---
av85779726,新型冠状病毒大型阵亡场面,愿疫情早些过去，全国加油,122,147,0,577,0,4166,0,350,711,233984,万州？？？---有内味了---加特林----500HP----300HP----600HP---武汉加油 中国加油！---中国加油！---钢铁洪流进行曲---帝国白兵---
av86834473,18年的冠状病毒SADS，已证实和2019-ncov不是一种，切勿相信谣言,央视2018年4月5日报道;;;不是同一病毒，不是同一病毒，武汉加油!,54,30,0,259,0,1289,0,182,544,205727,我内疚 我愧疚 我自责---瞎扯，要信这个，你还不如相信猪瘟传染人呢---？---注意，导致猪腹泻！---不是武汉发生的呀，是广东---不是武汉发生的病毒呀，是广东---nature---我有种可怕的假设---现在的也有腹泻，也是这个蝙蝠！想想有阴谋！---有---
av84350215,五个方法远离新型冠状病毒肺炎【春节预防指南】,我的微博@在下小苏Su;;;;;;大家莫慌！预防措施收好！;;;希望你们春节都健健康康的！;;;也要及时关注官方发布的信息;;;公共场合就少去吧！;;;;;;本数据截止1.20日晚上12点，目前为止还在不断更新。,618,2705,0,1457,0,10605,0,610,1189,224142,哈哈哈哈哈哈哈哈哈---天佑武汉---不以为意---小苏要注意预防---哈哈哈哈哈哈对啊给老子气笑了---起的好早嘻嘻---看咸素媛那个节目，她和婆婆一起吃鳄鱼，我的妈呀，真的有点接受不了---有点可怕啊啊---嗯嗯---感谢！---
av84811155,新型冠状病毒，河南农村 恁家人就不要出来了！进来夸！,-,51,21,0,194,0,1224,0,258,404,262759,np---河南 点赞---给河南 点赞---哈哈哈哈哈哈哈又心酸又好笑---第一，河南作为湖北接壤省。第二，人口庞大外加外出务工基数巨大。第三，河南县镇村各级医疗水平有限，一旦大规模暴发，后果不堪设想！所以不得不防。---愚昧无知---听口音是洛阳那得---听口音是洛阳那得---哈哈哈哈---大妈: 懵逼---
av88909768,新型冠状病毒肺炎严控之下，有些钓鱼人就是不听劝,喜欢钓鱼的朋友们，姑且再忍一忍吧！待到春暖花开、驱散瘟疫之时，再一起去好好地过一把钓鱼瘾吧。,158,25,0,110,0,975,0,846,437,154847,这种人直接上去给他一巴掌，凭什么弄坏别人的东西---没聚众吖---河湖边上空气好，而且人员不密集。都不愿意相互接触，害怕吓到鱼---出发点是好的，但是毁坏别人的渔具就不对。---摆拍，海杆轮子都没有你钓毛线啊---把鱼杆全部没收---团灭了---钓鱼的时候可没最后喊口号的时候离得近---抓起来---回家钓鱼---
av84786053,华大基因CEO谈冠状病毒,2020年了还有人相信病毒生物战，醒醒吧(家族群必备);;;;;;请看一下评论区和理智讨论话题☺️,461,531,0,2552,0,5403,0,1396,2245,229352,说得好---基因武器---无论有没有，都需要警惕。毕竟发生过，如731部队---这个人拐的挺远---av画质---杂交？---你怎么负责法---这个视频下面的评论就没几个是正常的..... 要带脑子啊 哎～---果子狸背锅了---真理---
av86553018,"太生气！一起消灭死皮不要脸的冠状病毒 (￣_,￣ )",希望疫情快点过去;;;一切恢复正常！！！！！꒦ິ^꒦ິ;;;;;;武汉加油！！温州加油！！中国加油！！,185,3480,0,1115,0,8833,0,313,430,145801,你不要过来啊！---好想出去玩，但是待在家里就是对抗击疫情最大的帮助---泪目---最可爱的口罩---么么up主，带上了温州---鄂---旅游泡汤---茶颜好评---吃大餐泡汤---加油！！---
av85182136,用《家有儿女》方式打开 你和家长看到新型冠状病毒新闻时的反应,武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油武汉加油中国加油,452,953,0,1691,0,8330,0,110,2710,215869,火钳刘明---66---收到！！！---武汉加油中国加油---哈哈哈---真实---哈哈哈哈哈哈---哈哈哈哈---2333---哈哈---
av87369467,新冠状病毒在印度蔓延！看印度各界是如何应对的？,印度新冠状病毒最新进展！,205,22,0,98,0,814,0,333,57,183250,"中国加油---中国加油---hhhhhhhhhhhh---好嗨---。。你这西装，衬衫太正式了。---cei残---印度吃牛粪就可以自愈了---个人呼吁，马上撤回印度侨民---滴滴叭叭---你要在后面墙上贴个""CCTV印度分台""才象演播室---"
av84476192,《姜子牙》的金融逻辑大解析，冠状病毒击垮春节档，《哪吒》奇迹能否重演，光线传媒的资本发家之路,武汉冠状病毒如何影响春节档电影票房，《姜子牙》前期的艰辛努力是否会付之东流？中国动漫的担当——光线传媒，又有哪些不为人知的危与机？分析师带你拆分光线传媒的财务报表，带你看《哪吒》曾经如何大火，带你预测光线传媒未来走势;;;参考文献：《中国电影票房分账的规则与流程》佚名;;;《战狼2：票房收益分成详解》21世纪经济报道;;;《谁是中国的娱乐之王：王长田还是王中军？》创业家;;;光线传媒招股说明书、年报、季报、投资者关系记录表;;;使用软件：万得、艺恩,787,4010,0,2966,0,6477,0,431,523,176335,深交所---？？？---是大护法吧---大护法，不是妙先生---bgm？---语速可以快点---疯狂暗示---暗示---过于水---暗示暗示---
av84276185,【外交部】中方将同各方携手应对新型冠状病毒肺炎疫情,关于中国与其他国家共同应对武汉新型冠状病毒的情况，中国外交部发言人耿爽在今天的例行记者会上表示：疫情发生以来，中方本着严肃、认真、专业的态度，予以积极的处置，制定严密的防控方案，全力救治患者，做好密切接触者的管理，深入开展流行病学调查，对外及时发布疫情防治有关信息，并且积极开展防病知识的宣传。在接到有关国家相关病例的通报后，中方高度重视，通过双多边渠道与各方保持密切沟通，加强合作。我们将同各方一道携手应对疫情，共同维护地区和全球的卫生安全。（总台央视记者申杨毕磊）,245,533,0,541,0,9358,0,433,437,261312,共同维护地区和全球的卫生安全---是的---我们现在可能注意到了---中方的卫生健康部门---肺炎疫情防护工作的有关信息---已经发布了关于新型冠状病毒感染的---立体声好评！---我建议你们可以再查阅一下---这我想强调指出的是---疫情发生以来---
av84851040,冠状病毒下，电影《囧妈》免费上线独播，徐峥亏不亏？【待言3】,我真不是做广告，就算是自来水吧，挺佩服这个举动的。,517,1180,0,737,0,5272,0,846,338,225698,我最近确实很紧张，晚上还做噩梦---来了---！---正经起来了---雨哥加油---听懂了 不混乱---我一定也不担心---期待姜子牙---期待姜子牙---！、---
av84902740,漫威英雄教大家正确防范新型冠状病毒,新年快乐！！;;;;;;希望尽自己一份力量，让更多人正确对抗肺炎病毒~;;;再次向医护人员致敬，武汉加油！!中国加油！!;;;早日度过此次难关！！,1172,4293,0,3995,0,12771,0,201,1992,143228,？？---火箭太惨了---加勒比哎---吧唧哥哥---出现病症一定要再三确定，不要随便到医院啊喂！医院是最大的传染源啊啊---加油！---本来就没遮住嘴啊---野生动物nb。。。---湖北加油！中国加油！---你币有了---
av84758261,辟谣答疑！关于新型冠状病毒肺炎的十大谣言和疑惑，你还在听信这些吗？,网络上流传的迷惑性谣言不可信，要做到不造谣不传谣！科学防护，大家一起携手度过难关！,283,2707,0,1612,0,10470,0,812,2664,195682,.---1---了解---.---烫头可以---OK---新年快呢---不建议使用带互相阀的，携带者戴口罩的作用远大于非携带者---没人吗---田太医辛苦啦，春节快乐---
av85405563,流行病学专家曾光：新型冠状病毒比SARS狡猾,曾光表示，新型冠状病毒#原则上所有人都易感#。“它在武汉的社区传播速度快，可能还有很多轻症的，可能跟一般的感冒差不多，我们不清楚。这场战役，可以说是在病毒界限‘敌我不清’的情况下展开的。”他说，溯病毒来源、控制源头、阐明病毒中间宿主，是关键环节。（总台央视记者崔霞）,88,360,0,648,0,9164,0,402,821,213419,医生们辛苦了 加油 奥利给---武汉加油---好---武汉加油 中国加油---第一次来那么早。---的确，本身就和流感差不多---如何区分才是核心问题---医生护士辛苦了---是的---这个口罩管用吗？---
av84458519,【野生冻物】消除恐惧的最好办法 就是面对恐惧！切“冠状病毒”~,算了，别吃了。;;;主要食材：琼脂粉、食用色素、牛奶;;;bgm：Denean-VowtoVirtue,2258,3218,0,2339,0,18910,0,858,588,176109,危                                                            ---钉钉蓝---叫你让我去不了上海---叫你让我连生日都过不了！都没有蛋糕吃！！！--- 河南挨着湖北，河南的我好慌---让你害我一天能写10几页作业---既实惠，还管饱---叫你害我吃不了火锅烧烤喝不了奶茶---让你祸害我们瓷哥---格瑞绿---
av93792911,怎样用深度学习分析新型冠状病毒？,研究人员怎样用深度学习方法分析新型冠状病毒？;;;---------------------------------------;;;（新人up投稿，求轻喷）;;;视频风格灵感来自@回形针PaperClip;;;3D模型资源来自GooglePoly（遵循CCBY创作协议）;;;BGM:PETO-CUTOFF（已获得原作者授权）,133,771,0,544,0,1437,0,219,103,29353,有人吗？---???听不懂了---有那味了---硬核---你是谁呀---没人吗---没人吗？---在---像极了高数课打了瞌睡之后的状态---回形针？---
av85161402,【新型冠状病毒】成功之后，请对医生好点,为众人抱薪者，不可使其冻毙于风雪;;;为愚昧启蒙者，不可使其困惑于无知;;;为自由开路者，不可使其困顿于荆棘;;;为大众谋福利者，不可使其孤军奋战;;;为众人谋生者，不可使其葬于人心;;;;;;为每一位大过年的不放假，还奋斗在一线的医护人员点赞，你们辛苦了！,684,5858,0,2480,0,11500,0,630,688,95152,医者父母心---有的人真的很可恶---说的在理---武汉加油！医护人员加油！---唉---说的在理---这些人不懂事啊---代表医学生感谢你---那是渣渣，你不需要放在心上---陶医生nb！---
av84873379,因为冠状病毒今天开始封城，心系500多只流浪小动物以后再来更不方便,捐款途径：支付宝账号18972111799（请备注捐款人姓名，每分钱捐款都要公示出来的）;;;微信公众号：荆州市流浪小动物保护中心（请勿关注前缀带湖北的号，仅为财务所需注册）;;;新浪微博：荆州市流浪小动物保护中心;;;QQ群：883576410（备注B站，群1已满）;;;荆州市流浪小动物保护中心于2015年10月4日成立，于2018年4月18日正式在民政局登记注册为民间动保公益救助组织。是以传播关爱生命、善待动物，致力于宣传科学文明养宠和提倡领养代替购买、绝育终止捕杀，关爱取代伤害，爱心止步流浪的公益性群体。,98,3302,0,360,0,4961,0,403,60,165396,白熊熊变成黑熊熊了---好担心狗狗们❤️---天使谢谢你在坚持---太可爱了---超级可爱---祝您媳妇平安---天佑毛孩子---好可爱啊---加油---雪纳瑞---
av85119163,中国已开始研发新型冠状病毒肺炎疫苗！,1月26日，中国疾控中心病毒病所应急技术中心主任谭文杰称，我们发现，新型病毒和在浙江舟山的一种蝙蝠身上的冠状病毒有90%的相似性，国外也有研究声称找到另一种蝙蝠携带的冠状病毒与这个病毒相似性达到96%，但即使同源性这么高，也不能认定新型冠状病毒就来自这种蝙蝠。中国疾控中心病毒所所长许文波表示，目前该中心开始启动新型冠状病毒的疫苗研发，目前已经成功分离病毒，正在筛选种子毒株。另外，中国疾控中心正在进行新型冠状病毒肺炎的药物筛选。,647,1062,0,951,0,11169,0,1243,1172,182995, 加油！---加油！---前面基因重组的，你啥意思---武汉加油！浙江加油！---绍兴人有点怂---加油---nice*---加油加油/---加油，中国万岁！武汉加油！---加油---
av84578887,【读书】每个人都可以为抗击肺炎出一份力|新型冠状病毒|武汉加油|血疫,这次视频没有讲太多书的内容;;;因为我觉得《血疫》里面描述的埃博拉丝状病毒感染过程过于恐怖;;;大家如果不害怕又想多了解一些相关知识可以看看《血疫》同名电视剧，拍的不错。;;;《SARS十年回响》也有相应的纪录片大家可以看看。;;;本视频内容如有说的不对的地方，欢迎评论交流，疫情有新的重大进展我也会评论区更新。;;;希望这件事情能早日结束，大家都能平安度过，做好防护，不要过度恐慌。;;;最后也祝所有的白衣天使及一线工作人员平安。;;;BGM:GoldamongtheSandbyTrevorKowalski,383,5504,0,1718,0,11780,0,470,417,124374,正能量---很棒。支持---血疫很好看 就是前面写的太震撼了 有点害怕---三连三连！---飘过---233333---能天使---血疫这本书可以说是一本恐怖小说了---阴谋论的脑子有问题---埃博拉病毒源头不是蝙蝠吗---
av87244206,吉利德被抢注了瑞得西韦的专利？事件科普和分析【新型冠状病毒研究】【正经法律】,祈福。引用来源见置顶评论。;;;;;;本视频主要回答和科普几个问题：;;;1.专利是什么东西？;;;2.药品专利有哪些？他们之间的区别又是什么？;;;3.吉利德公司申请的是什么？wh所又申请了什么？他们为什么要申请？;;;4.假设专利申请成功，未来瑞得西韦在国内的生产应用会如何？;;;5.PCT的科普;;;;;;更多视频：;;;律师评价|爱情公寓5里张伟的表现像真实的律师吗？av87959175;;;《野狼disco》版权事件梳理，宝石侵权了吗？99美金合同到底买了啥？av86821373,390,1500,0,1228,0,3666,0,894,577,122946,是不是焦有点虚啊---我好像有点懂了---giao---体外抗病毒作用根本没有意义---保护国家利益的角度这几个字一出，结果就已经知晓了---懂了---吉利得公司不是已经申请治疗冠状病毒的治疗的专利了吗？---药品用途的扩大---应读给（ji）药方案---中成药就不需要---
av89595048,新型冠状病毒的隔离期还是14天吗？,听说新型冠状病毒的医学隔离期可能要从14天变成24天了？这是假的！,44,585,0,401,0,7801,0,288,181,105212,这个字幕怎么这么和谐---医，病，都要河蟹？---有个人得病就不得了---我也是36.6°C。。。---可是也有得病不发烧的额啊---字幕扣钱---24天说明他自身抵抗力撑了那么久---快解除隔离了23333333---不打拼音锅家就说你造谣哦嘻嘻---迷之审核---
av85710346,真实还原各类人眼中对待冠状病毒的现状,万众一心，武汉加油，人间自有真情在,696,1356,0,968,0,8149,0,282,251,157130,玛莎---1---加油！---致敬---真实---野味拒绝野味，保护家人---BGM？---加油---真是，，，，---武汉加油---
